material,temperature_c,dwell_min,length_factor,width_factor,sleeve_factor
PES,30.0,1.0,0.9986,0.9993,0.9992
PES,30.0,2.0,0.9993,1.0003,0.9976
PES,30.0,3.0,0.9963,0.9974,0.9977
PES,30.0,4.0,0.9983,0.9988,0.997
PES,30.0,5.0,0.9965,0.9952,0.9965
PES,30.0,6.0,0.9942,0.995,0.996
PES,30.0,7.0,0.9926,0.9941,0.9948
PES,30.0,8.0,0.9939,0.9954,0.9931
PES,30.0,9.0,0.9918,0.9943,0.9931
PES,30.0,10.0,0.9925,0.9938,0.992
PES,30.0,11.0,0.9906,0.9923,0.9904
PES,30.0,12.0,0.9894,0.9929,0.9896
PES,30.0,13.0,0.9886,0.9914,0.9907
PES,30.0,14.0,0.9892,0.9906,0.9895
PES,30.0,15.0,0.9879,0.9927,0.9887
PES,30.0,16.0,0.9883,0.9919,0.9886
PES,30.0,17.0,0.9859,0.9899,0.9866
PES,30.0,18.0,0.9881,0.9912,0.9862
PES,30.0,19.0,0.9861,0.991,0.9862
PES,30.0,20.0,0.9852,0.9896,0.9852
PES,40.0,1.0,0.9988,0.9979,0.9968
PES,40.0,2.0,0.9965,0.9962,0.9951
PES,40.0,3.0,0.9959,0.9975,0.9952
PES,40.0,4.0,0.9942,0.9974,0.9946
PES,40.0,5.0,0.9947,0.9937,0.9943
PES,40.0,6.0,0.9929,0.9939,0.9932
PES,40.0,7.0,0.9918,0.9938,0.9933
PES,40.0,8.0,0.9905,0.9934,0.9902
PES,40.0,9.0,0.9916,0.9923,0.9909
PES,40.0,10.0,0.9888,0.9931,0.9899
PES,40.0,11.0,0.9893,0.9904,0.9887
PES,40.0,12.0,0.9898,0.9925,0.9881
PES,40.0,13.0,0.9892,0.9924,0.9868
PES,40.0,14.0,0.9862,0.9914,0.9883
PES,40.0,15.0,0.9869,0.9904,0.9863
PES,40.0,16.0,0.9863,0.989,0.9867
PES,40.0,17.0,0.9852,0.989,0.9876
PES,40.0,18.0,0.9855,0.9893,0.9846
PES,40.0,19.0,0.9848,0.9892,0.9845
PES,40.0,20.0,0.9837,0.9891,0.9841
PES,50.0,1.0,0.9966,0.9953,0.9947
PES,50.0,2.0,0.9936,0.9948,0.9958
PES,50.0,3.0,0.9935,0.996,0.9945
PES,50.0,4.0,0.9915,0.9943,0.9924
PES,50.0,5.0,0.9925,0.9944,0.9933
PES,50.0,6.0,0.9908,0.9928,0.9922
PES,50.0,7.0,0.9894,0.9926,0.9901
PES,50.0,8.0,0.9889,0.9935,0.9895
PES,50.0,9.0,0.9892,0.9904,0.9905
PES,50.0,10.0,0.9898,0.9926,0.9895
PES,50.0,11.0,0.9878,0.99,0.9876
PES,50.0,12.0,0.987,0.9919,0.9866
PES,50.0,13.0,0.9867,0.9899,0.9882
PES,50.0,14.0,0.9865,0.9904,0.9853
PES,50.0,15.0,0.9873,0.9897,0.986
PES,50.0,16.0,0.9842,0.9894,0.9855
PES,50.0,17.0,0.9841,0.9902,0.9839
PES,50.0,18.0,0.985,0.9891,0.984
PES,50.0,19.0,0.9856,0.9875,0.9847
PES,50.0,20.0,0.9838,0.9883,0.9842
PES,60.0,1.0,0.9927,0.9958,0.9928
PES,60.0,2.0,0.9932,0.9939,0.9921
PES,60.0,3.0,0.9906,0.9938,0.9933
PES,60.0,4.0,0.9898,0.9924,0.9903
PES,60.0,5.0,0.9914,0.9939,0.9899
PES,60.0,6.0,0.9906,0.9928,0.9899
